,jurisdiction,week,first_dose,second_dose
639,Delaware,2020-12-28,5800,5800
640,District of Columbia,2020-12-28,4400,4400
641,Federal Entities,2020-12-28,100000,100000
642,Florida,2020-12-28,127100,127100
643,Georgia,2020-12-28,60200,60200
644,Guam,2020-12-28,0,0
645,Hawaii,2020-12-28,8700,8700
646,Idaho,2020-12-28,9700,9700
647,Illinois,2020-12-28,60300,60300
648,Indiana,2020-12-28,39200,39200
649,Iowa,2020-12-28,18600,18600
650,Kansas,2020-12-28,17000,17000
651,Kentucky,2020-12-28,26500,26500
652,Louisiana,2020-12-28,27500,27500
653,Maine,2020-12-28,8400,8400
654,Mariana Islands,2020-12-28,0,0
655,Marshall Islands,2020-12-28,0,0
656,Maryland,2020-12-28,36000,36000
657,Massachusetts,2020-12-28,42100,42100
658,Michigan,2020-12-28,60000,60000
659,Micronesia,2020-12-28,0,0
660,Minnesota,2020-12-28,32900,32900
661,Mississippi,2020-12-28,17600,17600
662,Missouri,2020-12-28,36400,36400
663,Montana,2020-12-28,6400,6400
664,Nebraska,2020-12-28,11200,11200
665,Nevada,2020-12-28,17400,17400
666,New Hampshire,2020-12-28,8400,8400
667,New Jersey,2020-12-28,53400,53400
668,New Mexico,2020-12-28,12500,12500
669,New York,2020-12-28,68000,68000
670,New York City,2020-12-28,51600,51600
671,North Carolina,2020-12-28,60800,60800
672,North Dakota,2020-12-28,4600,4600
673,Ohio,2020-12-28,69700,69700
674,Oklahoma,2020-12-28,22900,22900
675,Oregon,2020-12-28,25000,25000
676,Palau,2020-12-28,0,0
677,Pennsylvania,2020-12-28,68700,68700
678,Philadelphia,2020-12-28,9500,9500
679,Puerto Rico,2020-12-28,20900,20900
