,jurisdiction,week,first_dose,second_dose
656,Maryland,2021-01-04,36075,36075
657,Massachusetts,2021-01-04,42900,42900
658,Michigan,2021-01-04,60450,60450
659,Micronesia,2021-01-04,0,0
660,Minnesota,2021-01-04,33150,33150
661,Mississippi,2021-01-04,17550,17550
662,Missouri,2021-01-04,37050,37050
663,Montana,2021-01-04,6825,6825
664,Nebraska,2021-01-04,11700,11700
665,Nevada,2021-01-04,17550,17550
666,New Hampshire,2021-01-04,8775,8775
667,New Jersey,2021-01-04,53625,53625
668,New Mexico,2021-01-04,12675,12675
669,New York,2021-01-04,68250,68250
670,New York City,2021-01-04,51675,51675
671,North Carolina,2021-01-04,61425,61425
672,North Dakota,2021-01-04,4875,4875
673,Ohio,2021-01-04,70200,70200
674,Oklahoma,2021-01-04,23400,23400
675,Oregon,2021-01-04,25350,25350
676,Palau,2021-01-04,0,0
677,Pennsylvania,2021-01-04,69225,69225
678,Philadelphia,2021-01-04,9750,9750
679,Puerto Rico,2021-01-04,21450,21450
680,Rhode Island,2021-01-04,6825,6825
